anio,mes,fecha,tramo,A,M,B2,B3,B4,C2,C3,C4,C5,C6,C7,C8,C9,total,AT,BT,CT,AT1
2023,4,2023-04-01,La Tinaja-Cosoleacaque,461106.0,8220.0,33734.0,15145.0,2.0,42345.0,59762.0,13368.0,178040.0,42499.0,3886.0,1737.0,129761.0,989605.0,469326.0,48881.0,471398.0,989605.0
2023,4,2023-04-01,Lib Noreste de Queretaro,246309.0,1706.0,5812.0,2717.0,8.0,38072.0,29249.0,5237.0,206325.0,20443.0,1251.0,182.0,37082.0,594393.0,248015.0,8537.0,337841.0,594393.0
2023,4,2023-04-01,Libramiento Oriente de Saltillo,192639.0,1309.0,11204.0,10699.0,1342.0,20486.0,10766.0,2176.0,229522.0,19012.0,1701.0,533.0,33068.0,534457.0,193948.0,23245.0,317264.0,534457.0
2023,4,2023-04-01,La Carbonera-Puerto Mexico,214659.0,1027.0,13615.0,11236.0,11.0,22577.0,11876.0,4170.0,244295.0,19861.0,1759.0,504.0,33663.0,579253.0,215686.0,24862.0,338705.0,579253.0
2023,4,2023-04-01,Libramiento Poniente de Tampico,246677.0,8731.0,1347.0,249.0,1.0,17166.0,13890.0,2130.0,31055.0,10037.0,774.0,117.0,26503.0,358677.0,255408.0,1597.0,101672.0,358677.0
2023,4,2023-04-01,Champoton-Campeche,205207.0,5127.0,5883.0,1805.0,,10032.0,12338.0,2111.0,28753.0,6234.0,541.0,122.0,19050.0,297203.0,210334.0,7688.0,79181.0,297203.0
2023,4,2023-04-01,Gomez Palacio-Corralitos,118803.0,1156.0,12902.0,8139.0,8.0,8032.0,9172.0,8409.0,89020.0,19892.0,3403.0,1142.0,28598.0,308676.0,119959.0,21049.0,167668.0,308676.0
2023,4,2023-04-01,Torreon-Saltillo,264511.0,3416.0,19022.0,12695.0,4.0,10705.0,6169.0,6202.0,109760.0,22048.0,4084.0,708.0,51807.0,511131.0,267927.0,31721.0,211483.0,511131.0
2023,4,2023-04-01,Tihuatlan-Gutierrez Zamora,152208.0,1677.0,3347.0,1470.0,5.0,5793.0,7005.0,1700.0,17000.0,5834.0,324.0,58.0,10999.0,207420.0,153885.0,4822.0,48713.0,207420.0
2023,4,2023-04-01,Agua Dulce-Cardenas,181214.0,1953.0,7351.0,3794.0,1.0,17147.0,18009.0,4021.0,61403.0,14084.0,1353.0,440.0,42906.0,353676.0,183167.0,11146.0,159363.0,353676.0
